row_index,disease_code,disease_name
0,1,Cataract
1,2,Celiac Disease
2,3,Carotid Sinus Syndrome
3,4,Carpal Tunnel Syndrome
4,5,Chlamydia Pneumoniae
5,6,Chlamydial Sexually Transmitted Disease
6,7,Chancroid
7,8,Chickenpox
8,9,Cervicitis
9,10,Cervicitis Ectropion & True Erosion
10,11,Cervical Polyps
11,12,Cervical Spondylosis
12,13,Cervical Dysplasia
13,14,Cervical Malignancy
14,15,Cellulitis Periorbital & Orbital
15,16,Cerebral Palsy
16,17,Angioedema
17,18,Ankylosing Spondylitis
18,19,Aneurysm Of The Abdominal Aorta
19,20,Classic Angina
20,21,Abortion Spontaneous
21,22,Abruptio Placenta
22,23,Acetaminophen Poisoning
23,24,Prinzmetal Angina
24,25,Unstable Angina
25,26,Rubella
26,27,Rubella Congenital
27,28,Altitude Illness
28,29,Alzheimer Disease
29,30,Amblyopia
30,31,Amebiasis
31,32,Amyloidosis
32,33,Amyotrophic Lateral Sclerosis
33,34,Anaerobic & Necrotizing Infections
34,35,Anaphylaxis
35,36,Balanitis
36,37,Barotitis Media
37,38,Cat Scratch Disease
38,39,Oroya Fever
39,40,Attention Deficit Hyperactivity Disorder
40,41,Autism
41,42,Atrial Fibrillation
42,43,Atrial Septal Defect
43,44,Aspergillosis
44,45,Asthma
45,47,Atherosclerotic Occlusive Disease
46,48,Arthritis Rheumatoid
47,49,Asbestosis
48,50,Arthritis Osteo
49,51,Arthritis Psoriatic
50,52,Arterial Gas Embolism
51,53,Arteriosclerotic Heart Disease
52,54,"Arthritis Infectious Bacterial, Nongonococcal"
53,55,Arthritis Juvenile Rheumatoid
54,56,Anxiety
55,57,"Aortic Dissection, Acute"
56,58,Aortic Valvular Stenosis Acquired
57,59,Aortic Supravalvular Stenosis (Williams Beuren)
58,60,Addison Disease
59,61,Adenovirus Infection
60,62,Acne Rosacea
61,63,Acne Vulgaris
62,64,Anorectal Fistula
63,65,Anorexia Nervosa
64,66,Measles
65,67,Anorectal Abscess
66,68,Anemia Pernicious
67,69,Anemia Sickle Cell
68,70,Anemia Aplastic
69,71,Anemia Autoimmune Hemolytic
70,72,Alcoholism
71,73,Aldosteronism Primary
72,74,Alopecia
73,75,Alopecia Areata
74,76,Cardiac Tamponade
75,77,Cardiomyopathy End Stage
76,78,"Candidiasis, Vulvovaginitis"
77,79,Carbon Monoxide Poisoning
78,80,Bronchitis Acute
79,81,Brucellosis
80,82,Bulimia Nervosa
81,83,Candidiasis
82,84,Brain Abscess
83,85,Brain Injury
84,86,Brachial Cleft Fistula
85,87,Breast Abscess
86,88,Bronchiolitis
87,89,Bronchiolitis Obliterans
88,90,Breast Cancer Female
89,91,Bronchiectasis
90,92,Botulism Infant
91,93,Botulism Wound
92,94,Chondrosarcoma
93,96,Blastomycosis Chronic Infection
94,97,Blepharitis
95,98,Osteosarcoma
96,99,Ewing Sarcoma
97,100,Bladder Injury
98,101,"Blastomycosis, Acute Infection"
99,102,Behcet Syndrome
100,103,Bell Palsy
101,104,Verruga Peruana
102,105,Trench Fever
103,106,Bacillary Angiomatosis
104,107,Basal Cell Carcinoma
105,108,Aortic Supravalvular Stenosis (Shone)
106,109,Aortic Regurgitation Chronic
107,110,Appendicitis Acute
108,111,Arterial Limb Embolus & Thrombosis
109,112,Choledocholithiasis
110,113,Cholelithiasis
111,114,Cholangitis
112,115,Cholecystitis
113,116,Chronic Obstructive Pulmonary Disease
114,117,Cirrhosis Of The Liver
115,118,Cholera
116,120,Coccidiodomycosis
117,121,Colorectal Malignancy
118,122,Claudication
119,123,Coarctation Of The Aorta
120,124,Common Cold
121,125,Complete Atrioventricular Canal
122,126,Condyloma Acuminata
123,127,Congenital Megacolon
124,128,Congestive Heart Failure
125,129,Viral Conjunctivitis
126,130,Chronic Cor Pulmonale
127,131,Corneal Ulceration
128,192,Diabetes Mellitus Type I
129,193,Diabetes Mellitus Type Ii
130,194,Dermatitis Stasis
131,195,Diabetes Insipidus
132,196,Dermatitis Diaper
133,197,Dermatitis Exfoliative
134,198,Dermatitis Herpetiformis
135,199,Dermatitis Seborrheic
136,200,Arthritis Bacterial Gonococcal
137,201,Cutaneous Squamous Cell Carcinoma
138,202,Cutaneous T Cell Lymphoma
139,203,Cystic Fibrosis
140,204,Cytomegalovirus Inclusion Disease Congenital
141,205,Cytomegalovirus Inclusion Disease Acquired
142,206,Decompression Sickness
143,207,Sub Acute Infective Endocarditis
144,208,Acute Infective Endocarditis
145,209,Cryptorchidism
146,210,Cushing Disease
147,211,Spontaneous Bacterial Peritonitis
148,212,Cushing Syndrome Adrenal Tumor
149,213,Septic Shock
150,214,Costochondritis
151,215,Crohn Disease
152,216,Chronic Cholecystitis
153,217,Cryptococcosis
154,218,Dermatitis Atopic
155,219,Dermatitis Contact
156,220,Dementia
157,221,Depression
158,222,Histamine Fish Poisoning
159,223,Paralytic Shellfish Poisoning
160,224,Neurotoxic Shellfish Poisoning
161,225,Tetrodoxin Poisoning
162,227,Cytomegalovirus Inclusion Disease Immunocompromised Host
